sequence, count
i 'm gon na, 55
i do n't know, 53
the elements of harmony, 27
what are you doing, 26
the grand galloping gala, 26
you 're gon na, 24
i do n't think, 23
i ca n't believe, 23
we 're gon na, 23
do n't wan na, 22
why do n't you, 21
i do n't have, 21
great and powerful trixie, 20
i 've never seen, 19
what do you think, 19
what 's going on, 18
the great and powerful, 16
you 've got to, 16
that 's what i, 16
in all of equestria, 15
tomorrow spring is here, 15
cause tomorrow spring is, 15
wrap up winter wrap, 14
it 's time to, 14
winter wrap up winter, 14
i 'm so sorry, 14
up winter wrap up, 14
do n't you think, 13
what do we do, 13
i do n't need, 13
i do n't want, 13
we do n't have, 13
i just ca n't, 13
i 'm the one, 13
'm the one who, 13
do n't know what, 13
i 'm going to, 13
ca n't wait to, 12
really really really really, 12
" dear princess celestia, 12
i ca n't wait, 12
la la la la, 12
princess mi amore cadenza, 11
do n't have time, 11
i 've got ta, 11
it 's just a, 11
you do n't have, 11
the cutie mark crusaders, 11
i do n't even, 11
is gon na be, 11
thank you so much, 10
no i do n't, 10
that 's why i, 10
i 've got a, 9
are we gon na, 9
you think you 're, 9
i 'm not sure, 9
i know it 's, 9
i 'd love to, 9
why did n't you, 9
do n't have to, 9
i do n't understand, 9
gon na have to, 9
going to have to, 9
do the pony pokey, 8
marzipan mascarpone meringue madness, 8
i 'd like to, 8
the foal free press, 8
but i do n't, 8
the best night ever, 8
'll just have to, 8
at the grand galloping, 8
i have to go, 8
hearts and hooves day, 8
i 'm trying to, 8
i do n't wan, 8
we 've got ta, 8
you 've got a, 8
're gon na be, 8
you do the pony, 8
this is gon na, 8
star swirl the bearded, 8
but i ca n't, 8
's gon na be, 8
mr. and mrs. cake, 8
well i 'm gon, 7
i do n't believe, 7
do you think you, 7
if you wan na, 7
've never seen anything, 7
a very special somepony, 7
i found her i, 7
now if you 'll, 7
do n't think so, 7
i know you 're, 7
i did n't know, 7
you do n't wan, 7
faithful student twilight sparkle, 7
do n't even know, 7
i do n't get, 7
i 'm here to, 7
do you wan na, 7
what 's the matter, 7
i just do n't, 7
you can do it, 7
to talk to you, 7
get out of here, 7
i want you to, 7
i do n't care, 7
she 's gon na, 7
i think you 're, 7
her i found her, 7
i just wanted to, 7
i need you to, 7
found her i found, 7
running of the leaves, 7
n't wan na be, 7
do n't know how, 7
n't have time for, 7
if we do n't, 7
we 've got to, 7
the summer sun celebration, 7
you want me to, 6
n't be able to, 6
have to do is, 6
wo n't be able, 6
if you do n't, 6
know what to say, 6
do you know what, 6
do n't think i, 6
i have no idea, 6
i was gon na, 6
and i 'm not, 6
why do n't we, 6
to the grand galloping, 6
do n't get it, 6
are the cutie mark, 6
i 've ever seen, 6
i 'll tell you, 6
this is the best, 6
have a very special, 6
's not gon na, 6
do n't have any, 6
i 'm sorry i, 6
where 's pinkie pie, 6
i du n no, 6
let 's get this, 6
hush now quiet now, 6
you 've got ta, 6
there 's no way, 6
thank you thank you, 6
'm gon na prove, 6
if you 'll excuse, 6
are you sure you, 6
do n't you know, 6
would you like to, 6
you 'll excuse me, 6
we are the cutie, 6
're not gon na, 6
do n't care what, 6
what did you do, 6
what have you done, 6
am i gon na, 6
the running of the, 6
do n't have a, 6
your faithful student twilight, 6
did n't you see, 6
you 're supposed to, 6
mare in the moon, 6
i know what you, 6
a hop skip and, 6
i 've never been, 5
know what you 're, 5
we need to talk, 5
get out there and, 5
did n't you say, 5
to find out who, 5
i 'm so glad, 5
'm at the grand, 5
it 's going to, 5
am i supposed to, 5
i 'm not gon, 5
you 're not a, 5
but that does n't, 5
ca n't believe it, 5
it 's just that, 5
'm not gon na, 5
i did n't mean, 5
are supposed to be, 5
grand galloping gala is, 5
what do you mean, 5
the one who 's, 5
no no no no, 5
'm gon na go, 5
we 'll just have, 5
n't wait to hear, 5
do n't you just, 5
never seen anything like, 5
the star swirl the, 5
where did they come, 5
get a cutie mark, 5
i thought i 'd, 5
'm a little busy, 5
it 's gon na, 5
letter to princess celestia, 5
it 's okay twilight, 5
it 's a good, 5
if you ask me, 5
the best place for, 5
have our cutie marks, 5
see you at the, 5
i guess you 're, 5
if i do n't, 5
n't even know what, 5
i 'm at the, 5
swirl the bearded wing, 5
best place for me, 5
i was a little, 5
we have to do, 5
'm gon na do, 5
'll excuse me i, 5
i 'll do it, 5
where 'd you get, 5
you know what i, 5
gon na be so, 5
did they come from, 5
the tail on the, 5
there 's nothing to, 5
i 'm sure it, 5
nothing to do with, 5
the rest of us, 5
is no time for, 5
i 'm talking about, 5
you just got ta, 5
are you doing here, 5
let 's do this, 5
do n't believe it, 5
ca n't believe i, 5
're gon na have, 5
but do n't worry, 5
'm gon na have, 5
i know i know, 5
's what i 'm, 5
it ca n't be, 5
think you 're doing, 5
how did you know, 5
it 's important to, 5
you got ta shaaare, 5
get back to the, 5
i 'm sure she, 5
the end of the, 5
do n't worry about, 5
my number one assistant, 5
's finish our holiday, 5
you 're going to, 5
back where you began, 5
n't know what to, 5
represents the spirit of, 5
guess you 're right, 5
the marzipan mascarpone meringue, 5
are you talking to, 5
now it 's time, 5
's gon na help, 5
i 'm a little, 5
let 's finish our, 5
the magic of friendship, 5
it 's the most, 5
finish our holiday cheer, 5
i 'm supposed to, 5
this is no time, 5
eating all the food, 4
've got ta find, 4
and i think i, 4
but that 's not, 4
to spend time with, 4
would you care to, 4
well why did n't, 4
it 's rainbow dash, 4
in the star swirl, 4
i 'll give you, 4
got my cutie mark, 4
ca n't believe we, 4
i think you just, 4
i 'm in the, 4
in the middle of, 4
now i have to, 4
what happened to the, 4
's get this over, 4
it 's hard to, 4
gon na prove to, 4
and i 'm gon, 4
i 've tried everything, 4
who we are and, 4
and what are you, 4
what are you all, 4
does n't mean you, 4
and his father before, 4
find out who we, 4
how could i have, 4
and that 's the, 4
out who we are, 4
get back to work, 4
what in the world, 4
are you talking about, 4
and fifty wing power, 4
what am i gon, 4
where you 're going, 4
i have a very, 4
the " mmmm ", 4
out of the way, 4
whoo whoo whoo whoo, 4
it 's the last, 4
'm going to have, 4
to be afraid of, 4
well in that case, 4
pick up the pace, 4
what are we gon, 4
you could do it, 4
you got ta caaare, 4
unicorn in all of, 4
i had to do, 4
do n't worry twilight, 4
ca n't believe you, 4
that i can do, 4
" this afternoon ", 4
now let 's get, 4
the best baker ever, 4
do n't you fret, 4
i am so sorry, 4
knew you could do, 4
it 's all in, 4
ta shaaare you got, 4
no problem at all, 4
shaaare you got ta, 4
to get a cutie, 4
pin the tail on, 4
it 's time for, 4
i got my cutie, 4
want me to be, 4
'm gon na be, 4
as in " this, 4
's supposed to be, 4
it were n't for, 4
but i did n't, 4
in all of ponyville, 4
it 's my birthday, 4
right my little ponies, 4
you do n't want, 4
're gon na do, 4
na prove to you, 4
is the best place, 4
and i do n't, 4
this afternoon " this, 4
looks like we 're, 4
his father before him, 4
i 'd hate to, 4
as a good friend, 4
you do n't mind, 4
this is n't a, 4
do n't know if, 4
let 's get out, 4
does n't mean i, 4
afternoon " this afternoon, 4
i need to talk, 4
applejack can we talk, 4
