sequence, count
i do n't, 207
i ca n't, 106
do n't you, 79
i 'm not, 67
do n't know, 63
you do n't, 61
what are you, 58
i 'm gon, 55
'm gon na, 55
i 've got, 52
do n't have, 51
're gon na, 50
i 'm sorry, 50
do n't worry, 49
i did n't, 45
it 's a, 44
it 's not, 44
you 've got, 41
what do you, 40
i 'm sure, 40
gon na be, 39
you 're not, 39
and i 'm, 38
i have to, 37
i 'm so, 37
i 've never, 37
's gon na, 37
winter wrap up, 33
let 's go, 32
are you doing, 31
why do n't, 31
it 's just, 31
you have to, 30
we 've got, 30
elements of harmony, 30
you 're right, 30
it 's the, 29
the elements of, 29
i think i, 29
we do n't, 28
n't wan na, 28
dear princess celestia, 28
the grand galloping, 28
you ca n't, 28
do you think, 28
you wan na, 28
there 's no, 27
grand galloping gala, 27
i could n't, 27
ca n't believe, 27
do n't think, 27
i 'll be, 26
our cutie marks, 26
a cutie mark, 26
it 's okay, 26
let 's get, 25
i 'm the, 25
've got ta, 25
it 's all, 25
we ca n't, 25
but i 'm, 25
i 've been, 24
do n't want, 24
that 's it, 24
i 'm just, 24
've got to, 24
is gon na, 24
you 're gon, 24
we 're gon, 23
all of equestria, 23
you got ta, 23
that 's what, 23
this is the, 22
think you 're, 22
do n't wan, 22
gon na do, 22
at the gala, 22
you know what, 22
it 's time, 22
that 's a, 21
my cutie mark, 21
be able to, 21
and it 's, 21
've got a, 21
have to do, 21
i think you, 21
did n't you, 21
great and powerful, 20
i 'm a, 20
in all of, 20
that 's not, 20
to be a, 20
gon na get, 20
and powerful trixie, 20
a lot of, 20
i 'm going, 19
i 've ever, 19
what you 're, 19
no no no, 19
i guess i, 19
've never seen, 19
the rest of, 19
i need to, 19
just ca n't, 19
you 're a, 19
's going on, 19
i have n't, 19
it 's my, 18
wrap up winter, 18
we need to, 18
i was just, 18
and that 's, 18
supposed to be, 18
just have to, 18
what 's the, 18
you wo n't, 18
to see you, 18
do n't even, 18
the one who, 18
it was a, 18
not gon na, 18
is the best, 18
you did n't, 18
she 's not, 18
what 's going, 18
you think you, 18
they do n't, 17
that 's right, 17
i thought i, 17
how did you, 17
why are you, 17
's what i, 17
i 'm here, 17
well i 'm, 17
do n't be, 17
's just a, 17
what 's that, 17
cutie mark crusaders, 17
i know you, 17
to tell you, 17
there 's nothing, 17
do we do, 16
i think we, 16
the great and, 16
but it 's, 16
do n't need, 16
you 'll be, 16
sweet apple acres, 16
this is my, 16
really really really, 16
i 'll take, 16
spring is here, 16
you 're the, 16
that 's why, 16
what do we, 16
there 's a, 15
let 's see, 15
i told you, 15
that does n't, 15
are you sure, 15
it 'll be, 15
we have to, 15
i have a, 15
tomorrow spring is, 15
i 'm afraid, 15
cause tomorrow spring, 15
i got ta, 15
ca n't be, 15
you can do, 15
that 's just, 15
i am not, 15
gon na have, 14
do n't understand, 14
get back to, 14
n't have to, 14
i would n't, 14
la la la, 14
n't you see, 14
oh thank you, 14
one of the, 14
she 's a, 14
ca n't wait, 14
very special somepony, 14
want you to, 14
'm so sorry, 14
to the princess, 14
you would n't, 14
are you okay, 14
's time to, 14
we got ta, 14
the everfree forest, 14
up winter wrap, 14
is n't it, 13
do n't like, 13
to talk to, 13
i know what, 13
to get a, 13
we gon na, 13
you need to, 13
n't you think, 13
'm going to, 13
zap apple jam, 13
going to be, 13
i mean i, 13
wo n't be, 13
i need you, 13
the cutie mark, 13
mare do well, 13
'm the one, 13
n't know what, 13
is going to, 13
oh it 's, 13
i just ca, 13
n't wait to, 13
do n't get, 13
but do n't, 13
you 're all, 13
on my own, 13
in front of, 13
have to go, 13
wan na be, 13
we 've been, 12
we have a, 12
's a good, 12
come on girls, 12
to princess celestia, 12
how could i, 12
that 's all, 12
what happened to, 12
to have to, 12
what are we, 12
out of the, 12
this is a, 12
want me to, 12
what i 'm, 12
do you know, 12
i know i, 12
if you 're, 12
's not a, 12
did n't know, 12
but i do, 12
you 're doing, 12
i was so, 12
" dear princess, 12
a little bit, 12
when i was, 12
you 've been, 12
princess mi amore, 12
it 's so, 12
are n't you, 12
all of you, 12
pinkie pie you, 12
you want to, 12
but you 're, 12
to do with, 12
n't even know, 11
i 'll never, 11
i know it, 11
thank you so, 11
we 're here, 11
make it stop, 11
what did you, 11
n't have time, 11
you so much, 11
know it 's, 11
this is n't, 11
get out of, 11
we 'll have, 11
the apple family, 11
i wan na, 11
a good friend, 11
at the grand, 11
you 're going, 11
mi amore cadenza, 11
i had to, 11
is n't that, 11
do n't care, 11
can do it, 11
just do n't, 11
i can do, 11
oh come on, 11
got ta go, 11
i 'd love, 11
now if you, 11
that 's the, 11
but that 's, 11
oh i 'm, 11
just wanted to, 11
'd love to, 11
rainbow dash you, 11
what in the, 10
i 'll do, 10
n't believe it, 10
you gon na, 10
the zap apples, 10
have to be, 10
have a very, 10
i 'll just, 10
going to have, 10
now let 's, 10
no i do, 10
's why i, 10
ca n't you, 10
where are you, 10
what 's this, 10
oh my goodness, 10
and she 's, 10
your cutie mark, 10
to help me, 10
just look at, 10
you 're my, 10
the princess is, 10
in the world, 10
and i 'll, 10
're supposed to, 10
'm not sure, 10
it was n't, 10
did you see, 10
's got ta, 10
hearts and hooves, 10
you are a, 10
to the gala, 10
's going to, 10
do n't mind, 10
my little ponies, 10
my little pony, 10
just a little, 10
do n't believe, 10
gon na help, 9
and you know, 9
because you 're, 9
and i think, 9
know what you, 9
so much for, 9
you sure you, 9
who are you, 9
she 's just, 9
gon na find, 9
to do it, 9
are you talking, 9
the magic of, 9
are we gon, 9
ca n't get, 9
i got it, 9
the best night, 9
i was n't, 9
they 're not, 9
it 's me, 9
we 'll be, 9
you really think, 9
never seen anything, 9
has to be, 9
" this afternoon, 9
get to the, 9
are you kidding, 9
if it 's, 9
a way to, 9
we did n't, 9
we could n't, 9
to go to, 9
no need to, 9
i want to, 9
n't you just, 9
out of here, 9
best night ever, 9
i 'd like, 9
we have n't, 9
mr. and mrs., 9
need to talk, 9
faithful student twilight, 9
one of my, 9
all of us, 9
to get to, 9
she does n't, 9
would you like, 9
i did it, 9
i guess you, 9
got ta get, 9
na have to, 9
let 's do, 9
of course not, 9
i 'm ready, 9
the sonic rainboom, 9
you have a, 9
i wo n't, 9
're going to, 9
do you want, 9
what was that, 9
why did n't, 9
you like to, 9
do n't look, 9
i found her, 9
can you believe, 9
now it 's, 9
oh you 're, 9
what 's wrong, 9
some sort of, 9
what is this, 9
does n't mean, 9
what we 're, 9
need you to, 9
of the leaves, 8
number one assistant, 8
i think it, 8
and hooves day, 8
it will be, 8
if we do, 8
'll just have, 8
you 're still, 8
we can get, 8
i know that, 8
the foal free, 8
well that 's, 8
and i know, 8
it looks like, 8
did you know, 8
iron will 's, 8
what is that, 8
we can do, 8
'll have to, 8
i was a, 8
of all the, 8
wan na know, 8
to make a, 8
star swirl the, 8
gon na go, 8
mascarpone meringue madness, 8
