sequence, count
how did, 21
do something, 21
just have, 21
a very, 21
never seen, 21
i found, 20
big mac, 20
what in, 20
find a, 20
was so, 20
by the, 20
you okay, 20
me a, 20
you look, 20
go to, 20
is going, 20
for all, 20
the great, 20
at least, 20
'm a, 20
do that, 20
know i, 20
i saw, 20
to keep, 20
of all, 20
zap apple, 20
all that, 20
me too, 20
maybe you, 20
made it, 20
they do, 20
spring is, 20
'd be, 20
to stop, 20
rest of, 19
need you, 19
you must, 19
but what, 19
should n't, 19
with your, 19
about to, 19
in equestria, 19
you so, 19
what if, 19
after all, 19
so we, 19
oh thank, 19
can be, 19
in canterlot, 19
talk to, 19
all about, 19
in this, 19
're here, 19
the rest, 19
all you, 19
just ca, 19
you a, 19
what about, 19
n't it, 19
she 'll, 19
me i, 19
me and, 19
'm going, 19
look like, 19
'll do, 18
we did, 18
special somepony, 18
you that, 18
'll take, 18
're going, 18
're the, 18
because you, 18
each other, 18
has to, 18
we 'd, 18
n't mean, 18
you wo, 18
we just, 18
not gon, 18
you mean, 18
oh it, 18
where are, 18
with my, 18
love to, 18
come to, 18
it would, 18
nightmare night, 18
the first, 18
well you, 18
go on, 18
now what, 18
with her, 18
is just, 18
were you, 18
no time, 18
little ponies, 18
little pony, 18
is there, 18
at me, 18
to stay, 18
a party, 17
a bit, 17
" and, 17
'll never, 17
twilight 's, 17
ai n't, 17
i see, 17
oh yes, 17
looking for, 17
thought i, 17
no you, 17
right here, 17
's your, 17
up for, 17
be my, 17
n't that, 17
is to, 17
sorry i, 17
the day, 17
up a, 17
mean i, 17
yes i, 17
it will, 17
mark crusaders, 17
could i, 17
n't look, 17
am not, 17
in there, 17
'm here, 17
sweet apple, 17
you twilight, 17
n't let, 17
nothing to, 17
apple acres, 16
there and, 16
la la, 16
the night, 16
's why, 16
take it, 16
when the, 16
out there, 16
is your, 16
sure to, 16
a letter, 16
that does, 16
had a, 16
how can, 16
're in, 16
to ponyville, 16
welcome to, 16
and all, 16
the ground, 16
but do, 16
what was, 16
wait for, 16
mare do, 16
here 's, 16
all my, 16
on girls, 16
now if, 16
about that, 16
just one, 16
not the, 16
up all, 16
to show, 16
very special, 16
to know, 16
photo finish, 16
how 's, 16
is so, 16
all those, 16
i made, 16
want you, 16
like i, 16
about a, 16
i wish, 16
this was, 16
n't wait, 16
sure you, 16
better than, 16
up with, 16
it up, 16
n't understand, 16
on me, 16
how do, 16
a way, 15
with that, 15
well well, 15
think of, 15
give me, 15
and what, 15
try to, 15
to give, 15
out the, 15
do the, 15
a minute, 15
think it, 15
the ponies, 15
believe it, 15
the truth, 15
and your, 15
so what, 15
ha ha, 15
tomorrow spring, 15
to work, 15
see what, 15
you up, 15
oh please, 15
sort of, 15
'm afraid, 15
my best, 15
of her, 15
the cutie, 15
can get, 15
're doing, 15
in here, 15
this time, 15
ready to, 15
of it, 15
but she, 15
maybe we, 15
to put, 15
all i, 15
's an, 15
and get, 15
these are, 15
care of, 15
they 'll, 15
with this, 15
for one, 15
front of, 15
n't mind, 15
no it, 15
thought you, 15
cause tomorrow, 15
being a, 15
shining armor, 15
if she, 15
will you, 15
that a, 15
with all, 15
my favorite, 15
just got, 15
my life, 15
'em up, 15
's see, 15
they are, 14
since i, 14
make you, 14
here i, 14
the weather, 14
show you, 14
and so, 14
of them, 14
just do, 14
wants to, 14
'd you, 14
my dear, 14
for it, 14
me in, 14
one more, 14
get me, 14
what have, 14
na have, 14
to hear, 14
the next, 14
the party, 14
then i, 14
everfree forest, 14
lots of, 14
the apple, 14
up in, 14
you ever, 14
could you, 14
it looks, 14
let you, 14
are my, 14
and if, 14
needs to, 14
was that, 14
is an, 14
has n't, 14
and they, 14
what did, 14
's this, 14
how to, 14
apple family, 14
this way, 14
here and, 14
it a, 14
on her, 14
my birthday, 14
something to, 14
they were, 14
get this, 14
the everfree, 14
that would, 14
do well, 14
to a, 14
the cake, 14
have some, 14
do with, 14
what the, 14
're just, 14
n't make, 14
in front, 14
came to, 14
were n't, 14
the magic, 13
i wonder, 13
wait to, 13
well it, 13
we had, 13
just the, 13
how are, 13
may have, 13
her to, 13
to look, 13
important to, 13
i ever, 13
uh i, 13
like we, 13
the sky, 13
" the, 13
have an, 13
how you, 13
and do, 13
n't just, 13
want me, 13
call me, 13
do not, 13
too much, 13
not sure, 13
ponyville 's, 13
'll see, 13
new fluttershy, 13
get your, 13
even know, 13
na go, 13
as well, 13
you said, 13
now it, 13
'd love, 13
we gon, 13
where i, 13
to play, 13
come out, 13
good friend, 13
your cutie, 13
come from, 13
now we, 13
got the, 13
oh come, 13
you had, 13
" dear, 13
in that, 13
ursa major, 13
my friend, 13
apple jam, 13
why would, 13
i like, 13
of that, 13
have no, 13
has been, 13
" i, 13
it just, 13
sounds like, 13
the zap, 13
n't see, 13
is no, 13
you made, 13
oh that, 13
to try, 13
should have, 13
an apple, 13
actually i, 13
i promise, 13
where is, 13
oh spike, 13
on you, 13
" this, 13
we get, 13
oh and, 12
or maybe, 12
the perfect, 12
just so, 12
enough to, 12
because i, 12
talking to, 12
n't tell, 12
is what, 12
the new, 12
of our, 12
just because, 12
's up, 12
well then, 12
but how, 12
your help, 12
day of, 12
guess you, 12
this week, 12
thank goodness, 12
see the, 12
of ponies, 12
to princess, 12
why did, 12
the trees, 12
to that, 12
dare you, 12
get away, 12
of these, 12
that she, 12
you about, 12
love it, 12
see how, 12
used to, 12
my new, 12
a chance, 12
princess mi, 12
what does, 12
only one, 12
happy to, 12
the moon, 12
who is, 12
the right, 12
just look, 12
know who, 12
and make, 12
diamond tiara, 12
i say, 12
i feel, 12
i go, 12
mean you, 12
and just, 12
little bit, 12
here you, 12
an ursa, 12
sorry but, 12
worry about, 12
that way, 12
you the, 12
you not, 12
pie you, 12
who are, 12
for her, 12
pony who, 12
got my, 12
the ticket, 12
you for, 12
have time, 12
ready for, 12
use your, 12
the worst, 12
faithful student, 12
an old, 12
me that, 12
n't care, 12
to this, 12
's only, 12
yeah i, 12
and my, 12
you may, 12
's too, 12
two bits, 12
out for, 12
a problem, 12
to save, 12
but but, 12
of me, 12
mrs. cake, 12
not be, 12
are not, 12
than you, 12
are a, 12
did not, 12
about this, 12
hang out, 12
mi amore, 12
all we, 12
everypony 's, 12
proud of, 12
get my, 12
i help, 12
have any, 12
up on, 12
please please, 11
that it, 11
n't take, 11
to her, 11
ahead of, 11
heard of, 11
magic of, 11
or a, 11
'd better, 11
and when, 11
at a, 11
's great, 11
not going, 11
but if, 11
can make, 11
twilight you, 11
n't we, 11
be here, 11
no matter, 11
she would, 11
be more, 11
think that, 11
n't a, 11
na help, 11
n't i, 11
i hate, 11
can we, 11
know the, 11
can help, 11
will never, 11
best night, 11
much for, 11
i heard, 11
might be, 11
the end, 11
are all, 11
hard to, 11
you believe, 11
've learned, 11
away from, 11
think she, 11
without a, 11
can not, 11
know why, 11
it in, 11
she does, 11
now let, 11
clean up, 11
my very, 11
of those, 11
does that, 11
how 'd, 11
slumber party, 11
in fact, 11
sure that, 11
the greatest, 11
we still, 11
in one, 11
to bring, 11
here at, 11
not that, 11
wake up, 11
you how, 11
that means, 11
be in, 11
the sun, 11
n't come, 11
but this, 11
be there, 11
n't go, 11
is still, 11
that book, 11
ta go, 11
all day, 11
give you, 11
" you, 11
on in, 11
if only, 11
'd like, 11
over here, 11
you spike, 11
he is, 11
than the, 11
why you, 11
you in, 11
in time, 11
meant to, 11
and not, 11
it stop, 11
as we, 11
is she, 11
say that, 11
i wanted, 11
in town, 11
ever seen, 11
's really, 11
just what, 11
i look, 11
her i, 11
could just, 11
is about, 11
you three, 11
make me, 11
zap apples, 11
that could, 11
we know, 11
a wonderful, 11
to spend, 11
pony in, 11
amore cadenza, 11
on it, 11
to win, 11
here for, 11
make the, 11
oh but, 11
see that, 11
just wanted, 11
oh what, 11
night ever, 11
there you, 11
them all, 11
afraid of, 11
all in, 11
dash you, 11
even if, 11
're still, 11
best friends, 11
it means, 11
i wan, 11
a tree, 11
do a, 11
next time, 11
they 've, 11
me the, 10
the train, 10
and hooves, 10
