sequence, count
PNP VM0 VVI PNP, 168
PNP VDB XX0 VVI, 118
PNP VM0 XX0 VVI, 117
AV0 PNP VM0 VVI, 74
PNP VBB VVG TO0, 65
PNP VM0 AV0 VVI, 63
PNP VHB VVN TO0, 62
PNP VM0 VVI AT0, 60
PNP VBB AV0 AJ0, 59
PRP AT0 AJ0 NN1, 55
NN1 PRP AT0 NN1, 54
PNP VVB PNP VM0, 54
AT0 NN1 PRF NN1, 53
VHB VVN TO0 VVI, 53
VDB XX0 VVI PNP, 52
TO0 VVI AT0 NN1, 51
VBB VVG TO0 VVI, 49
CJC PNP VM0 VVI, 47
VM0 VVI AT0 NN1, 46
VBZ AT0 AJ0 NN1, 45
PNP VM0 VVI PRP, 42
PNP VVB TO0 VVI, 42
AT0 NN1 TO0 VVI, 42
VM0 XX0 VVI PNP, 42
PRP AT0 NN1 PRF, 41
VVG TO0 VVI PNP, 40
AT0 AJ0 NN1 PRP, 39
PNP VM0 VVI AVP, 37
PNP VVB AT0 NN1, 37
ITJ ITJ ITJ ITJ, 37
PNP VBZ AT0 NN1, 34
PNP PRP AT0 NN1, 34
PNP VHB TO0 VVI, 33
CJS PNP VVB PNP, 33
PNP VDD XX0 VVI, 32
PNP VBB AJ0 PNP, 32
CJS PNP VM0 VVI, 32
PNP VVD TO0 VVI, 31
PNP VBZ AV0 AJ0, 31
PRP AT0 NN1 NN1, 30
DTQ VBB PNP VVG, 30
AT0 NN1 PRF AT0, 30
VVI AT0 AJ0 NN1, 29
NN1 PRF AT0 NN1, 29
VM0 VVI PNP PRP, 28
PNP VM0 VBI AJ0, 28
VBB PNP VVG TO0, 28
VVI PRP AT0 NN1, 28
PNP VHB AT0 NN1, 28
PNP VM0 VVI DT0, 28
PNP VM0 VVI AV0, 27
XX0 VVI TO0 VVI, 27
AVQ VM0 PNP VVI, 27
NN1 PNP VM0 VVI, 27
CJC PNP VM0 XX0, 26
PNP VVB PNP VVB, 25
VVB PNP VM0 VVI, 25
TO0 VVI DPS NN1, 25
AT0 NN1 PRP AT0, 25
VVI AT0 NN1 PRP, 25
PNP VBZ AT0 AJ0, 24
VM0 VVI PRP PNP, 24
PNP VBB VVG PRP, 24
AV0 VM0 VM0 VVI, 24
PNP VM0 VVI DPS, 24
PNP VBB AT0 NN1, 23
PNP VHB VVN AT0, 23
ITJ PNP VM0 XX0, 23
PNP VVB PNP VBB, 23
AV0 PRP AT0 NN1, 23
PNP VM0 VVI NN1, 23
PNP VVB PNP VBZ, 23
AT0 NN1 PRP PNP, 22
DTQ VBB PNP VDG, 22
VM0 VVI PNP AVP, 22
VBZ VVG TO0 VVI, 22
VDB XX0 PNP VVI, 22
DTQ VBZ VVG AVP, 21
EX0 VBZ AT0 NN1, 21
NN1 PRP DT0 NN1, 21
AJ0 TO0 VVI PNP, 21
VVN TO0 VVI PNP, 21
PNP VVD AT0 NN1, 21
DTQ VDB PNP VVI, 21
AV0 AV0 PNP VM0, 21
VVB PRP AT0 NN1, 21
AT0 AJ0 AJ0 NN1, 20
AT0 NN1 PRF DPS, 20
VM0 PNP VVI PNP, 20
AV0 VDB XX0 VVI, 20
VDB XX0 VVI TO0, 20
PNP VVG TO0 VDI, 20
NN1 TO0 VVI AT0, 20
PNP VVB PNP AV0, 19
PNP VHB AV0 VVN, 19
VM0 VVI AT0 AJ0, 19
VM0 VVI AVP PRP, 18
PNP VM0 XX0 VBI, 18
VVD TO0 VVI PNP, 18
PNP VHB VVN PNP, 18
PNP VM0 VDI PNP, 18
AVQ VBB PNP VVG, 18
PNP VBZ AV0 AV0, 18
DTQ VBZ AT0 NN1, 18
AV0 PNP VVB PNP, 18
PRP PRP AT0 NN1, 18
VM0 XX0 VVI AV0, 18
AT0 AJ0 NN1 PRF, 18
VM0 VM0 VVI PNP, 18
VM0 AV0 VVI PNP, 17
AT0 NN1 PRF PNP, 17
VVI PNP PRP AT0, 17
PNP VVD PNP VM0, 17
AV0 AT0 AJ0 NN1, 17
PNP VVB DPS NN1, 17
AV0 PNP VBB VVG, 17
AVP PRP AT0 NN1, 17
AV0 AV0 AV0 AV0, 17
NN1 TO0 VVI PNP, 17
AT0 NN1 PRP DT0, 17
VVI AT0 NN1 PRF, 17
AV0 AJ0 TO0 VVI, 17
VVI PRP PRP AV0, 17
TO0 VBI AT0 NN1, 16
AJ0 PNP VBB AJ0, 16
AVQ VDB PNP VVI, 16
VM0 VM0 VVI PRP, 16
AT0 NN1 PRF NN2, 16
PNP VVG TO0 VVI, 16
CJC PNP VVB PNP, 16
TO0 VVI AT0 AJ0, 16
NN1 PRP DPS NN1, 16
AV0 CJS PNP VVB, 16
VDB XX0 VVI AV0, 16
NN1 PNP VVB PNP, 16
PNP VHD AV0 VVI, 15
VBI AJ0 TO0 VVI, 15
PNP AV0 VVD PNP, 15
VVD PNP VM0 VVI, 15
VM0 VVI DT0 NN1, 15
AJ0 PRP AT0 NN1, 15
AJ0 NN1 PRP AT0, 15
VVB PNP AT0 NN1, 15
PNP AV0 VDB XX0, 15
DT0 VBZ AT0 NN1, 15
TO0 VVI PRP PNP, 15
TO0 VVI PNP AV0, 15
NN1 CJC PNP VM0, 15
VVB TO0 VVI PNP, 15
VVB PNP VVB PNP, 15
AJ0 NN1 PRP DT0, 15
VM0 VHI TO0 VVI, 15
VBB AJ0 PNP VBB, 15
AT0 NN1 PRF NP0, 15
AT0 AJ0 NN1 AV0, 15
PNP VM0 VHI VVN, 15
VHB VVN AT0 NN1, 15
TO0 VVI PRP AT0, 14
PNP VVD DPS NN1, 14
ITJ PNP VBB AJ0, 14
PNP PRP DPS NN1, 14
PNP VHB VBN VVG, 14
AT0 AV0 AJ0 NN1, 14
DT0 VBZ AVQ PNP, 14
VBZ AT0 NN1 PRP, 14
XX0 VVI AT0 NN1, 13
PNP VM0 VBI AV0, 13
PNP VVD PNP VBD, 13
PRP AT0 NN1 PNP, 13
DPS NN1 TO0 VVI, 13
AT0 AJ0 NN1 NN1, 13
PNP VDZ XX0 VVI, 13
PNP VVB PNP PRP, 13
TO0 VVI AT0 NN2, 13
PRP AT0 NN1 PRP, 13
AT0 NN1 PNP VM0, 13
VM0 VVI PNP AV0, 13
NN1 VBZ VVG TO0, 13
NN1 PRF DPS NN1, 13
CJS PNP VVB AT0, 13
TO0 VVI AT0 NP0, 13
PNP VM0 VHI TO0, 13
TO0 VVI PNP PRP, 13
NN1 VBZ AV0 AJ0, 12
AT0 NN1 VM0 VVI, 12
AV0 PNP VM0 VBI, 12
TO0 VVI DT0 NN1, 12
CJS PNP VDB XX0, 12
VM0 VVI TO0 VVI, 12
PNP TO0 VVI PNP, 12
VM0 VBI AJ0 TO0, 12
NN1 CJS PNP VVB, 12
PNP VVB PNP TO0, 12
AT0 NN1 VBZ VVG, 12
PRP AT0 NN1 CJC, 12
TO0 VVI PNP VVI, 12
NN2 PRP AT0 NN1, 12
VDB PNP VVI PNP, 12
ITJ PNP VVB PNP, 12
VVG PRP AT0 NN1, 12
VM0 VVI PRP PRP, 12
PNP VBB XX0 VVG, 12
VVB PNP PRP AT0, 12
VVB PNP TO0 VVI, 12
PNP VM0 XX0 VDI, 12
AJ0 NN1 PRP PNP, 12
PNP VBD AV0 AJ0, 12
PNP VM0 AV0 VBI, 12
CJS PNP VVB TO0, 12
VVI TO0 VVI PNP, 12
CJS PNP VVB PRP, 12
VVI PNP AT0 NN1, 11
CJC PNP VBB XX0, 11
PRP AT0 AJ0 NN2, 11
VBZ PRP AT0 NN1, 11
CJC PNP VVD PNP, 11
AV0 AV0 AV0 PNP, 11
NN1 PNP VBB AJ0, 11
CJC VVI AT0 NN1, 11
AV0 VVG TO0 VVI, 11
VM0 XX0 VVI PRP, 11
AT0 NN1 CJC PNP, 11
AV0 AV0 PNP VVB, 11
VM0 VM0 VVI AVP, 11
PNP VVI PRP PNP, 11
VVZ PRP AT0 NN1, 11
DT0 VBZ AV0 AJ0, 11
PRP AT0 NN1 AV0, 11
AT0 NN1 AT0 NN1, 11
DT0 AT0 AJ0 NN1, 11
PNP VHB XX0 VVN, 11
AV0 CJS PNP VM0, 11
AVP PRP NN1 NN1, 11
VVI PNP CJS PNP, 11
VVB AT0 NN1 PRF, 11
VM0 XX0 PNP VVI, 11
PNP VHB TO0 VDI, 11
VVN PRP AT0 NN1, 11
VBB PNP VVG PRP, 11
PNP VBZ DPS NN1, 11
AV0 DTQ VBB PNP, 10
PRP DPS AJ0 NN1, 10
AVQ VDD PNP VVI, 10
VM0 VVI DPS NN1, 10
AV0 VVI PNP PRP, 10
NN1 TO0 VVI PRP, 10
PNP VM0 XX0 VHI, 10
PNP VM0 VVI AJ0, 10
PNP VBZ AJ0 NN1, 10
PNP AT0 AJ0 NN1, 10
VM0 VVI PNP CJS, 10
NN1 PRP AT0 AJ0, 10
DT0 VBZ DPS NN1, 10
VM0 XX0 VBI AJ0, 10
VBZ VVG TO0 VBI, 10
VVB PNP VBB VVG, 10
VVB PRP PRP AV0, 10
CJS PNP VVB AVP, 10
AV0 AV0 CJS PNP, 10
VVI TO0 VVI AT0, 10
CJC AT0 NN1 PRF, 10
NN2 VDB XX0 VVI, 10
PNP VVB PRP PNP, 10
VDD XX0 VVI PNP, 10
VM0 VVI DPS NN2, 10
AT0 AJ0 NN1 PNP, 10
AV0 AJ0 CJS PNP, 10
VVB AT0 NN1 NN2, 10
PNI PNP VM0 VDI, 10
NN1 VM0 VBI VVN, 10
PNP VBB VVG PNP, 10
PNP PRP PRP AV0, 10
PNP VVZ PRP AT0, 10
VM0 XX0 VVI AT0, 10
PNP VDB XX0 VHI, 10
VVG TO0 VBI AJ0, 10
AVQ VDB XX0 PNP, 10
AV0 VVI TO0 VVI, 10
VVI PRP PNP AV0, 10
TO0 VVI DT0 AJ0, 10
VM0 VM0 VVI NN1, 10
PRP AT0 NP0 NP0, 10
PNP VVI AT0 NN1, 10
VVI AT0 AJ0 NN2, 10
AV0 VVI AT0 NN1, 10
PNP AV0 VVB PNP, 10
AT0 NN1 PNP VVB, 10
PNP VVB PRP AT0, 10
AJ0 NN1 TO0 VVI, 10
NN1 VBZ AT0 NN1, 10
TO0 VVI PRP PRP, 9
VVB AVP VVB AVP, 9
VVG TO0 VVI PRP, 9
AT0 AJ0 NN1 CJC, 9
PRP DT0 AJ0 NN1, 9
PNP VVD PNP VVD, 9
VBB VVG PRP PNP, 9
PNP PRP AT0 NN2, 9
PNP VVB DT0 NN1, 9
UNC UNC UNC UNC, 9
TO0 VVI DPS NN2, 9
