sequence, count
DT NN, 163487
IN DT, 103605
NN IN, 94928
JJ NN, 89700
NN NN, 85500
NN VBD, 81946
PRP VBD, 68984
DT JJ, 59515
TO VB, 53074
PRP$ NN, 52867
IN NN, 52251
IN PRP, 38365
NN CC, 38008
IN PRP$, 32856
MD VB, 32004
VBD RB, 29534
VBD DT, 28331
RB VB, 26232
JJ NNS, 25898
NNS IN, 25321
VBD IN, 25286
PRP VBP, 24636
DT NNS, 23390
NN VBZ, 22098
VB DT, 21841
VB PRP, 21789
PRP MD, 21617
RB IN, 21281
PRP VBZ, 20636
NN PRP, 20598
VBD PRP, 19935
NN RB, 19300
NN POS, 18835
RB JJ, 18385
VBN IN, 18255
NN NNS, 17704
IN JJ, 17515
NNS VBP, 17344
PRP$ NNS, 16190
VBD VBN, 16031
VB IN, 16000
NN VBP, 15815
RB RB, 15803
NN TO, 15198
NN MD, 15062
CC NN, 14858
NNS VBD, 14503
VBP RB, 14267
POS NN, 13117
NN CD, 13093
CC VBD, 12767
VBD JJ, 12371
NNS CC, 12294
JJ IN, 12173
VBZ DT, 12025
VBG IN, 12025
RB VBD, 11856
JJ JJ, 11856
MD RB, 11758
PRP IN, 11604
IN NNS, 11521
VBD NN, 11436
PRP$ JJ, 11383
VBD TO, 11118
CD NN, 10873
NN DT, 10713
VBD VBG, 10664
TO DT, 10429
VB NN, 10349
RB PRP, 10302
VBD PRP$, 10128
PRP RB, 10068
PRP VB, 9847
VB PRP$, 9729
CC DT, 9560
IN IN, 9504
CC PRP, 9436
RB VBN, 9407
VBP PRP, 9197
VBZ RB, 8996
RB DT, 8785
CC VB, 8570
NN VBG, 8530
VBG DT, 7795
VB RB, 7714
VBP DT, 7637
VB JJ, 7570
IN VBG, 7504
CC JJ, 7424
NN JJ, 7234
CC RB, 6978
JJ CC, 6966
VBD RP, 6833
VBG NN, 6793
VBZ JJ, 6787
VB TO, 6698
NNS RB, 6668
CD NNS, 6480
VBZ IN, 6474
VBP IN, 6468
VBP JJ, 6240
VBG TO, 6121
WRB PRP, 5904
VBP VBN, 5857
JJ VBP, 5710
RP IN, 5655
RB NN, 5554
VB VBN, 5386
RB VBG, 5357
RB TO, 5335
RP DT, 5222
VBN TO, 5207
PRP DT, 5153
VB RP, 5108
NN VBN, 5100
CC NNS, 5012
