File Name, Num Words, Num Tokens, Num Sentences, Num Speakers, Ave Sentence Len, Ave Word Len, $, '', :, CC, CD, DT, EX, FW, IN, JJ, JJR, JJS, LS, MD, NN, NNP, NNPS, NNS, PDT, POS, PRP, PRP$, RB, RBR, RBS, RP, SYM, TO, UH, VB, VBD, VBG, VBN, VBP, VBZ, WDT, WP, WP$, WRB, ``
D:\corpora\COCA\text_fiction_awq\other\w_fic_1997.txt, 2979681, 70520, 244191, 0, 65.0, 4.21, 14, 2356, 14310, 101588, 24449, 288759, 6685, 510, 323479, 203579, 6519, 4099, 9, 41379, 598563, 239, 18, 138665, 3106, 18964, 211229, 85597, 175861, 3679, 771, 25068, 596, 69973, 765, 126963, 185160, 67746, 58270, 71252, 72977, 9642, 16985, 476, 19381, 0
D:\corpora\COCA\text_fiction_awq\other\w_fic_1998.txt, 3444950, 76533, 284089, 0, 64.86, 4.23, 28, 1904, 11920, 116739, 25794, 334951, 7978, 650, 376342, 233689, 7961, 4570, 11, 51087, 679495, 376, 16, 160793, 3525, 22805, 245724, 98856, 205607, 4654, 920, 29071, 530, 82440, 936, 149031, 230670, 77792, 71751, 77039, 75204, 11308, 19957, 530, 22296, 0
D:\corpora\COCA\text_fiction_awq\other\w_fic_1999.txt, 3784047, 80201, 322058, 0, 62.69, 4.21, 28, 3512, 12913, 125344, 27286, 359580, 8474, 728, 403622, 255702, 8747, 5646, 7, 57270, 751209, 409, 20, 172149, 3687, 25382, 275921, 106469, 227436, 5100, 1090, 32206, 541, 91931, 1100, 168729, 258130, 83429, 77584, 90347, 81588, 12221, 22577, 523, 25410, 0
D:\corpora\COCA\text_fiction_awq\other\w_fic_2000.txt, 3563852, 80942, 286296, 0, 66.75, 4.24, 52, 2557, 10387, 120955, 26580, 347700, 7908, 609, 387801, 249476, 8160, 5125, 5, 50649, 712576, 430, 23, 166022, 3560, 23842, 247817, 101573, 210441, 4764, 1073, 29238, 472, 85971, 893, 152984, 232323, 80109, 73763, 79906, 81769, 12067, 20730, 491, 23051, 0
D:\corpora\COCA\text_fiction_awq\other\w_fic_2001.txt, 3533046, 80111, 292345, 0, 64.83, 4.24, 27, 2802, 10293, 117344, 25881, 344056, 7873, 595, 383884, 243045, 8301, 5114, 4, 52726, 703669, 382, 24, 162214, 3573, 23273, 249587, 100498, 211039, 4557, 1026, 29013, 394, 84570, 997, 153241, 233050, 79750, 72887, 82600, 78764, 11864, 20898, 495, 22736, 0
D:\corpora\COCA\text_fiction_awq\other\w_fic_2002.txt, 3417347, 78152, 281427, 0, 65.23, 4.25, 32, 2022, 11735, 114795, 27555, 334054, 7777, 547, 371937, 236571, 7964, 4878, 13, 50391, 680538, 330, 33, 162809, 3415, 22087, 236114, 98061, 202719, 4642, 1073, 28327, 586, 81702, 892, 145746, 219399, 78143, 70696, 77879, 78180, 11257, 19799, 481, 22168, 0
D:\corpora\COCA\text_fiction_awq\other\w_fic_2003.txt, 3701004, 82335, 307243, 0, 64.89, 4.27, 33, 2150, 9168, 124390, 28207, 362690, 8102, 672, 400374, 260795, 8884, 5688, 2, 53753, 737785, 416, 26, 175133, 3610, 25202, 253307, 105647, 220050, 5127, 1145, 30106, 338, 89686, 950, 160080, 239642, 83960, 77091, 85380, 83572, 12314, 21135, 553, 23841, 0
D:\corpora\COCA\text_fiction_awq\other\w_fic_2004.txt, 3647073, 82639, 298464, 0, 65.79, 4.27, 29, 2261, 14497, 123503, 31589, 359052, 8154, 576, 397150, 254737, 8533, 5155, 8, 52773, 727811, 476, 28, 173750, 3634, 23690, 249137, 104897, 213937, 4822, 1021, 29907, 441, 86125, 876, 153218, 235428, 83602, 76886, 80006, 83176, 12164, 20379, 559, 23086, 0
D:\corpora\COCA\text_fiction_awq\other\w_fic_2005.txt, 3698823, 86504, 291182, 0, 67.9, 4.23, 36, 2560, 8819, 124582, 28428, 361100, 7905, 593, 403126, 262000, 8770, 5525, 7, 53289, 749091, 461, 23, 173092, 3590, 23431, 251442, 106374, 214652, 5032, 1095, 29054, 459, 86917, 796, 154240, 248186, 84605, 78665, 83367, 79310, 12673, 20980, 585, 23963, 0
D:\corpora\COCA\text_fiction_awq\other\w_fic_2006.txt, 3611003, 84164, 286141, 0, 67.92, 4.26, 25, 2063, 8796, 126937, 26705, 352875, 8060, 565, 398633, 252483, 8729, 5804, 10, 53676, 708037, 353, 23, 167077, 3693, 22933, 249008, 106092, 217097, 5015, 1117, 28584, 287, 86680, 846, 154137, 247910, 81958, 77380, 75461, 74324, 12515, 20545, 585, 23984, 1
